TotalSteps,TotalMinutesAsleep,IsWeekend
13162,327.0,False
10735,384.0,False
9762,412.0,False
15506,304.0,False
10544,360.0,False
9819,325.0,False
15355,277.0,False
13755,245.0,False
13154,366.0,False
11181,341.0,False
14727,277.0,False
15103,273.0,False
14070,247.0,False
12159,334.0,False
12022,338.0,False
12207,383.0,False
12770,285.0,False
3176,119.0,False
3758,796.0,False
3844,644.0,False
678,750.0,False
356,398.0,False
980,475.0,False
3761,296.0,False
1675,166.0,False
4414,503.0,False
4993,531.0,False
3335,545.0,False
3821,523.0,False
2424,498.0,False
7222,461.0,False
2467,477.0,False
2915,520.0,False
6017,506.0,False
6088,508.0,False
6375,513.0,False
7604,490.0,False
7018,511.0,False
6564,538.0,False
12167,468.0,False
8198,524.0,False
10685,531.0,False
254,357.0,False
8580,523.0,False
8891,456.0,False
10352,467.0,False
10129,445.0,False
10465,452.0,False
8247,500.0,False
6711,465.0,False
10080,460.0,False
7804,405.0,False
9482,433.0,False
5980,436.0,False
11423,448.0,False
5439,408.0,False
42,411.0,False
8856,274.0,False
10035,295.0,False
7641,291.0,False
9010,424.0,False
11663,412.0,False
12414,219.0,False
11658,152.0,False
6093,332.0,False
8911,355.0,False
11177,262.0,False
11388,250.0,False
7193,349.0,False
7114,261.0,False
10645,333.0,False
16520,230.0,False
14335,292.0,False
13559,213.0,False
12312,318.0,False
11677,323.0,False
13072,312.0,False
8539,501.0,False
4496,322.0,False
10252,478.0,False
11728,226.0,False
4369,385.0,False
5546,442.0,False
10210,535.0,False
5664,465.0,False
2276,515.0,False
8925,461.0,False
8954,523.0,False
3702,59.0,False
4500,533.0,False
9259,488.0,False
9899,505.0,False
10780,286.0,False
10817,497.0,False
7990,523.0,False
9261,478.0,False
9648,474.0,False
9524,450.0,False
10378,535.0,False
9487,487.0,False
9129,529.0,False
17,302.0,False
8758,499.0,False
11009,99.0,False
10181,329.0,False
10553,421.0,False
10055,442.0,False
12139,82.0,False
9461,319.0,False
11193,439.0,False
10074,428.0,False
10096,368.0,False
12375,390.0,False
9603,471.0,False
10218,62.0,False
10299,354.0,False
10201,469.0,False
