TotalSteps,Calories,ActivityDate,DayOfWeek,ActivityTier,SedentaryMinutes
0,0,2016-05-12,Thursday,Sedentary (<5k),1440
1510,1344,2016-04-15,Friday,Sedentary (<5k),1344
2916,1435,2016-04-19,Tuesday,Sedentary (<5k),1299
4974,1446,2016-04-20,Wednesday,Sedentary (<5k),1289
4026,1470,2016-04-22,Friday,Sedentary (<5k),1241
2826,1402,2016-04-26,Tuesday,Sedentary (<5k),1300
2759,1401,2016-04-28,Thursday,Sedentary (<5k),1320
2390,1404,2016-04-29,Friday,Sedentary (<5k),1290
2100,1334,2016-05-03,Tuesday,Sedentary (<5k),1344
2193,1368,2016-05-04,Wednesday,Sedentary (<5k),1322
2470,1370,2016-05-05,Thursday,Sedentary (<5k),1323
1727,1341,2016-05-06,Friday,Sedentary (<5k),1338
2104,1474,2016-05-07,Saturday,Sedentary (<5k),1258
3427,1427,2016-05-08,Sunday,Sedentary (<5k),1288
1732,1328,2016-05-09,Monday,Sedentary (<5k),1349
2969,1393,2016-05-10,Tuesday,Sedentary (<5k),1301
3134,1359,2016-05-11,Wednesday,Sedentary (<5k),1328
2971,1002,2016-05-12,Thursday,Sedentary (<5k),890
2436,2430,2016-04-20,Wednesday,Sedentary (<5k),1315
1223,2140,2016-04-21,Thursday,Sedentary (<5k),1402
3673,2344,2016-04-22,Friday,Sedentary (<5k),1354
3321,2413,2016-04-24,Sunday,Sedentary (<5k),1351
3580,2497,2016-04-25,Monday,Sedentary (<5k),1337
3032,2489,2016-04-27,Wednesday,Sedentary (<5k),1322
3176,2498,2016-04-29,Friday,Sedentary (<5k),1193
3758,2580,2016-05-02,Monday,Sedentary (<5k),682
2309,2222,2016-05-04,Wednesday,Sedentary (<5k),1388
4363,2463,2016-05-05,Thursday,Sedentary (<5k),1341
1329,1276,2016-05-11,Wednesday,Sedentary (<5k),713
4929,1860,2016-04-13,Wednesday,Sedentary (<5k),1192
3844,1725,2016-04-15,Friday,Sedentary (<5k),527
3414,1657,2016-04-16,Saturday,Sedentary (<5k),1293
4525,1793,2016-04-17,Sunday,Sedentary (<5k),1231
4597,1814,2016-04-18,Monday,Sedentary (<5k),1211
197,1366,2016-04-19,Tuesday,Sedentary (<5k),1430
8,1349,2016-04-20,Wednesday,Sedentary (<5k),1439
3570,1645,2016-04-23,Saturday,Sedentary (<5k),1301
0,1347,2016-04-24,Sunday,Sedentary (<5k),1440
0,1347,2016-04-25,Monday,Sedentary (<5k),1440
0,1347,2016-04-26,Tuesday,Sedentary (<5k),1440
4,1348,2016-04-27,Wednesday,Sedentary (<5k),1439
4920,1856,2016-04-29,Friday,Sedentary (<5k),1082
4014,1763,2016-04-30,Saturday,Sedentary (<5k),218
2573,1541,2016-05-01,Sunday,Sedentary (<5k),585
0,1348,2016-05-02,Monday,Sedentary (<5k),1440
4059,1742,2016-05-03,Tuesday,Sedentary (<5k),1256
2080,1549,2016-05-04,Wednesday,Sedentary (<5k),1353
2237,1589,2016-05-05,Thursday,Sedentary (<5k),1320
44,1351,2016-05-06,Friday,Sedentary (<5k),1438
0,1347,2016-05-07,Saturday,Sedentary (<5k),1440
0,1347,2016-05-08,Sunday,Sedentary (<5k),1440
0,1347,2016-05-09,Monday,Sedentary (<5k),1440
0,1347,2016-05-10,Tuesday,Sedentary (<5k),1440
0,1347,2016-05-11,Wednesday,Sedentary (<5k),1440
0,665,2016-05-12,Thursday,Sedentary (<5k),711
678,2220,2016-04-12,Tuesday,Sedentary (<5k),734
356,2151,2016-04-13,Wednesday,Sedentary (<5k),986
2163,2383,2016-04-14,Thursday,Sedentary (<5k),1292
980,2221,2016-04-15,Friday,Sedentary (<5k),941
0,2064,2016-04-16,Saturday,Sedentary (<5k),1440
0,2063,2016-04-17,Sunday,Sedentary (<5k),1440
244,2111,2016-04-18,Monday,Sedentary (<5k),1423
0,2063,2016-04-19,Tuesday,Sedentary (<5k),1440
0,2063,2016-04-20,Wednesday,Sedentary (<5k),1440
0,2064,2016-04-21,Thursday,Sedentary (<5k),1440
149,2093,2016-04-22,Friday,Sedentary (<5k),1430
2945,2499,2016-04-23,Saturday,Sedentary (<5k),1295
2090,2324,2016-04-24,Sunday,Sedentary (<5k),1358
152,2100,2016-04-25,Monday,Sedentary (<5k),1303
3761,2638,2016-04-26,Tuesday,Sedentary (<5k),1058
0,2063,2016-04-27,Wednesday,Sedentary (<5k),1440
1675,2351,2016-04-28,Thursday,Sedentary (<5k),1167
0,2063,2016-04-29,Friday,Sedentary (<5k),1440
0,2064,2016-04-30,Saturday,Sedentary (<5k),1440
2704,2411,2016-05-01,Sunday,Sedentary (<5k),1355
3790,2505,2016-05-02,Monday,Sedentary (<5k),1322
1326,2195,2016-05-03,Tuesday,Sedentary (<5k),1413
1786,2338,2016-05-04,Wednesday,Sedentary (<5k),1353
0,2063,2016-05-05,Thursday,Sedentary (<5k),1440
2091,2383,2016-05-06,Friday,Sedentary (<5k),1332
1510,2229,2016-05-07,Saturday,Sedentary (<5k),1392
0,2063,2016-05-08,Sunday,Sedentary (<5k),1440
0,2063,2016-05-09,Monday,Sedentary (<5k),1440
0,2063,2016-05-10,Tuesday,Sedentary (<5k),1440
0,2063,2016-05-11,Wednesday,Sedentary (<5k),1440
0,1383,2016-05-12,Thursday,Sedentary (<5k),966
3292,1848,2016-05-08,Sunday,Sedentary (<5k),1305
4414,1459,2016-04-12,Tuesday,Sedentary (<5k),706
4993,1521,2016-04-13,Wednesday,Sedentary (<5k),663
3335,1431,2016-04-14,Thursday,Sedentary (<5k),653
3821,1444,2016-04-15,Friday,Sedentary (<5k),687
2547,1373,2016-04-16,Saturday,Sedentary (<5k),728
838,1214,2016-04-17,Sunday,Sedentary (<5k),1053
3325,1419,2016-04-18,Monday,Sedentary (<5k),1062
2424,1356,2016-04-19,Tuesday,Sedentary (<5k),785
2467,1370,2016-04-21,Thursday,Sedentary (<5k),749
2915,1399,2016-04-22,Friday,Sedentary (<5k),712
3490,1401,2016-04-24,Sunday,Sedentary (<5k),704
4729,1506,2016-04-30,Saturday,Sedentary (<5k),594
3609,1447,2016-05-01,Sunday,Sedentary (<5k),716
4193,1491,2016-05-07,Saturday,Sedentary (<5k),665
254,1141,2016-05-10,Tuesday,Sedentary (<5k),1002
3973,1696,2016-04-14,Thursday,Sedentary (<5k),1249
3404,1610,2016-04-21,Thursday,Sedentary (<5k),1302
4165,1725,2016-04-24,Sunday,Sedentary (<5k),1236
3588,1654,2016-04-25,Monday,Sedentary (<5k),1280
3409,1632,2016-04-26,Tuesday,Sedentary (<5k),1293
1715,1481,2016-04-27,Wednesday,Sedentary (<5k),1358
1532,1473,2016-04-28,Thursday,Sedentary (<5k),1364
924,1410,2016-04-29,Friday,Sedentary (<5k),1395
4571,1779,2016-04-30,Saturday,Sedentary (<5k),1206
772,1403,2016-05-01,Sunday,Sedentary (<5k),1400
3634,1613,2016-05-02,Monday,Sedentary (<5k),1306
1201,1426,2016-05-04,Wednesday,Sedentary (<5k),1388
4878,1742,2016-05-06,Friday,Sedentary (<5k),1236
3090,1630,2016-05-09,Monday,Sedentary (<5k),1295
2661,1125,2016-05-12,Thursday,Sedentary (<5k),830
42,403,2016-04-29,Friday,Sedentary (<5k),2
2524,1529,2016-04-17,Sunday,Sedentary (<5k),1272
3516,1966,2016-04-27,Wednesday,Sedentary (<5k),1197
4940,1897,2016-05-07,Saturday,Sedentary (<5k),1302
4747,1788,2016-04-12,Tuesday,Sedentary (<5k),1160
4880,1867,2016-04-20,Wednesday,Sedentary (<5k),1148
3843,1669,2016-04-22,Friday,Sedentary (<5k),1234
3077,1237,2016-05-01,Sunday,Sedentary (<5k),842
746,52,2016-05-11,Wednesday,Sedentary (<5k),13
0,1981,2016-04-13,Wednesday,Sedentary (<5k),1440
108,2011,2016-04-14,Thursday,Sedentary (<5k),1437
1882,2951,2016-04-15,Friday,Sedentary (<5k),1299
1982,3051,2016-04-16,Saturday,Sedentary (<5k),1222
16,1990,2016-04-17,Sunday,Sedentary (<5k),1438
62,1995,2016-04-18,Monday,Sedentary (<5k),1438
0,1980,2016-04-19,Tuesday,Sedentary (<5k),1440
0,1980,2016-04-20,Wednesday,Sedentary (<5k),1440
0,1980,2016-04-21,Thursday,Sedentary (<5k),1440
0,1980,2016-04-22,Friday,Sedentary (<5k),1440
0,1980,2016-04-23,Saturday,Sedentary (<5k),1440
0,1980,2016-04-24,Sunday,Sedentary (<5k),1440
0,1980,2016-04-25,Monday,Sedentary (<5k),1440
0,1980,2016-04-26,Tuesday,Sedentary (<5k),1440
0,1980,2016-04-27,Wednesday,Sedentary (<5k),1440
0,1980,2016-04-28,Thursday,Sedentary (<5k),1440
0,1980,2016-04-29,Friday,Sedentary (<5k),1440
0,1980,2016-04-30,Saturday,Sedentary (<5k),1440
0,1980,2016-05-01,Sunday,Sedentary (<5k),1440
475,2207,2016-05-02,Monday,Sedentary (<5k),1350
4496,2828,2016-05-03,Tuesday,Sedentary (<5k),950
4369,2704,2016-05-06,Friday,Sedentary (<5k),855
4556,2785,2016-05-09,Monday,Sedentary (<5k),1225
3689,2645,2016-05-11,Wednesday,Sedentary (<5k),1296
590,1120,2016-05-12,Thursday,Sedentary (<5k),721
0,1776,2016-04-14,Thursday,Sedentary (<5k),1440
3984,1527,2016-04-15,Friday,Sedentary (<5k),873
4744,1884,2016-04-16,Saturday,Sedentary (<5k),724
29,1464,2016-04-17,Sunday,Sedentary (<5k),1363
2276,1632,2016-04-18,Monday,Sedentary (<5k),824
3702,1792,2016-04-21,Thursday,Sedentary (<5k),1265
4500,1886,2016-04-22,Friday,Sedentary (<5k),709
4935,1945,2016-04-23,Saturday,Sedentary (<5k),546
4081,1880,2016-04-24,Sunday,Sedentary (<5k),692
1251,1593,2016-05-01,Sunday,Sedentary (<5k),836
3672,1792,2016-05-08,Sunday,Sedentary (<5k),603
17,257,2016-05-12,Thursday,Sedentary (<5k),0
4660,2572,2016-04-17,Sunday,Sedentary (<5k),721
3369,1623,2016-05-12,Thursday,Sedentary (<5k),825
3276,2113,2016-04-12,Tuesday,Sedentary (<5k),787
2961,2095,2016-04-13,Wednesday,Sedentary (<5k),840
3974,2194,2016-04-14,Thursday,Sedentary (<5k),717
3945,2180,2016-04-16,Saturday,Sedentary (<5k),716
2268,1933,2016-04-17,Sunday,Sedentary (<5k),1219
2064,1954,2016-04-19,Tuesday,Sedentary (<5k),895
2072,1974,2016-04-20,Wednesday,Sedentary (<5k),841
3809,2150,2016-04-21,Thursday,Sedentary (<5k),756
4363,2149,2016-04-23,Saturday,Sedentary (<5k),1239
3385,2070,2016-04-25,Monday,Sedentary (<5k),916
4493,2203,2016-04-28,Thursday,Sedentary (<5k),762
4676,2196,2016-04-29,Friday,Sedentary (<5k),1106
2923,2070,2016-05-04,Wednesday,Sedentary (<5k),897
3800,2120,2016-05-05,Thursday,Sedentary (<5k),734
4514,2211,2016-05-06,Friday,Sedentary (<5k),809
3915,2181,2016-05-10,Tuesday,Sedentary (<5k),783
768,1212,2016-05-12,Thursday,Sedentary (<5k),380
4978,1722,2016-04-13,Wednesday,Sedentary (<5k),1287
4803,1788,2016-04-20,Wednesday,Sedentary (<5k),1218
3428,1692,2016-05-01,Sunday,Sedentary (<5k),1121
3755,1722,2016-05-06,Friday,Sedentary (<5k),1238
1664,2241,2016-04-22,Friday,Sedentary (<5k),1341
0,2017,2016-05-01,Sunday,Sedentary (<5k),1440
2752,1240,2016-05-12,Thursday,Sedentary (<5k),241
4832,1718,2016-04-13,Wednesday,Sedentary (<5k),647
655,1397,2016-04-17,Sunday,Sedentary (<5k),943
3727,1683,2016-04-18,Monday,Sedentary (<5k),622
2713,1570,2016-04-20,Wednesday,Sedentary (<5k),598
4112,1776,2016-04-23,Saturday,Sedentary (<5k),443
1807,1507,2016-04-24,Sunday,Sedentary (<5k),582
1202,1463,2016-04-30,Saturday,Sedentary (<5k),506
4249,1698,2016-05-04,Wednesday,Sedentary (<5k),651
1868,1494,2016-05-07,Saturday,Sedentary (<5k),902
4926,1693,2016-05-11,Wednesday,Sedentary (<5k),628
3121,741,2016-05-12,Thursday,Sedentary (<5k),222
4950,2643,2016-05-06,Friday,Sedentary (<5k),1304
0,1819,2016-05-07,Saturday,Sedentary (<5k),1440
0,1819,2016-05-08,Sunday,Sedentary (<5k),1440
3421,2489,2016-05-09,Monday,Sedentary (<5k),1099
4038,1665,2016-05-11,Wednesday,Sedentary (<5k),257
0,1496,2016-04-12,Tuesday,Sedentary (<5k),1440
0,1496,2016-04-13,Wednesday,Sedentary (<5k),1440
0,1496,2016-04-14,Thursday,Sedentary (<5k),1440
0,1497,2016-04-25,Monday,Sedentary (<5k),1440
3403,1879,2016-04-28,Thursday,Sedentary (<5k),758
4933,2044,2016-05-02,Monday,Sedentary (<5k),1204
0,1496,2016-05-03,Tuesday,Sedentary (<5k),1440
2997,1902,2016-05-04,Wednesday,Sedentary (<5k),1279
3365,1838,2016-05-06,Friday,Sedentary (<5k),673
4477,1248,2016-05-09,Monday,Sedentary (<5k),125
4562,2560,2016-04-12,Tuesday,Sedentary (<5k),1241
0,2060,2016-04-21,Thursday,Sedentary (<5k),1440
0,2664,2016-04-23,Saturday,Sedentary (<5k),1407
0,2060,2016-04-26,Tuesday,Sedentary (<5k),1440
0,2060,2016-04-29,Friday,Sedentary (<5k),1440
0,0,2016-05-10,Tuesday,Sedentary (<5k),1440
0,1841,2016-04-12,Tuesday,Sedentary (<5k),1440
4053,2400,2016-04-13,Wednesday,Sedentary (<5k),1053
1282,2127,2016-04-15,Friday,Sedentary (<5k),976
4732,2225,2016-04-16,Saturday,Sedentary (<5k),1377
2497,2067,2016-04-17,Sunday,Sedentary (<5k),1392
0,1841,2016-04-19,Tuesday,Sedentary (<5k),1440
0,1841,2016-04-21,Thursday,Sedentary (<5k),1440
637,1922,2016-04-22,Friday,Sedentary (<5k),1420
0,1841,2016-04-23,Saturday,Sedentary (<5k),1440
2153,2053,2016-04-24,Sunday,Sedentary (<5k),1400
0,1841,2016-04-27,Wednesday,Sedentary (<5k),1440
703,1993,2016-04-28,Thursday,Sedentary (<5k),1410
0,1841,2016-04-29,Friday,Sedentary (<5k),1440
2503,2280,2016-04-30,Saturday,Sedentary (<5k),1344
2487,2319,2016-05-01,Sunday,Sedentary (<5k),1347
0,1841,2016-05-02,Monday,Sedentary (<5k),1440
9,1843,2016-05-03,Tuesday,Sedentary (<5k),1439
0,1841,2016-05-04,Wednesday,Sedentary (<5k),1440
0,1841,2016-05-05,Thursday,Sedentary (<5k),1440
4697,2496,2016-05-06,Friday,Sedentary (<5k),1318
1967,1032,2016-05-07,Saturday,Sedentary (<5k),551
1551,1466,2016-04-14,Thursday,Sedentary (<5k),862
4188,1659,2016-05-08,Sunday,Sedentary (<5k),709
3587,928,2016-05-12,Thursday,Sedentary (<5k),127
4631,2076,2016-04-16,Saturday,Sedentary (<5k),1155
3761,2051,2016-04-30,Saturday,Sedentary (<5k),1240
0,1557,2016-05-04,Wednesday,Sedentary (<5k),1440
0,120,2016-05-07,Saturday,Sedentary (<5k),111
31,1635,2016-04-16,Saturday,Sedentary (<5k),1437
0,1629,2016-04-17,Sunday,Sedentary (<5k),1440
2817,1965,2016-04-23,Saturday,Sedentary (<5k),1350
3520,2049,2016-04-24,Sunday,Sedentary (<5k),566
3789,1199,2016-05-12,Thursday,Sedentary (<5k),343
1170,1886,2016-05-01,Sunday,Sedentary (<5k),1389
1969,1988,2016-05-02,Monday,Sedentary (<5k),1345
4998,1505,2016-05-12,Thursday,Sedentary (<5k),839
2672,1632,2016-04-15,Friday,Sedentary (<5k),1335
4212,1763,2016-04-19,Tuesday,Sedentary (<5k),1276
2824,1651,2016-04-22,Friday,Sedentary (<5k),1320
4562,1813,2016-04-26,Tuesday,Sedentary (<5k),1299
2718,1580,2016-04-28,Thursday,Sedentary (<5k),1393
0,0,2016-04-30,Saturday,Sedentary (<5k),1440
2132,2572,2016-04-17,Sunday,Sedentary (<5k),599
3703,2741,2016-04-24,Sunday,Sedentary (<5k),734
2946,2660,2016-04-30,Saturday,Sedentary (<5k),780
4468,2799,2016-05-07,Saturday,Sedentary (<5k),851
2943,2685,2016-05-08,Sunday,Sedentary (<5k),621
4561,1976,2016-05-12,Thursday,Sedentary (<5k),433
3135,2443,2016-04-14,Thursday,Sedentary (<5k),1306
3430,2505,2016-04-15,Friday,Sedentary (<5k),1375
3008,2439,2016-04-17,Sunday,Sedentary (<5k),1440
3864,2536,2016-04-18,Monday,Sedentary (<5k),1309
4503,2547,2016-04-25,Monday,Sedentary (<5k),1294
4512,2596,2016-05-01,Sunday,Sedentary (<5k),1311
3588,2516,2016-05-04,Wednesday,Sedentary (<5k),1440
0,0,2016-05-12,Thursday,Sedentary (<5k),1440
2564,2044,2016-04-12,Tuesday,Sedentary (<5k),831
1320,1934,2016-04-13,Wednesday,Sedentary (<5k),806
1219,1963,2016-04-14,Thursday,Sedentary (<5k),853
2483,2009,2016-04-15,Friday,Sedentary (<5k),937
244,1721,2016-04-16,Saturday,Sedentary (<5k),1428
0,1688,2016-04-17,Sunday,Sedentary (<5k),1440
0,1688,2016-04-18,Monday,Sedentary (<5k),1440
0,1688,2016-04-19,Tuesday,Sedentary (<5k),1440
3147,2188,2016-04-20,Wednesday,Sedentary (<5k),744
144,1720,2016-04-21,Thursday,Sedentary (<5k),1431
4068,2419,2016-04-22,Friday,Sedentary (<5k),817
400,1799,2016-04-24,Sunday,Sedentary (<5k),1410
0,1688,2016-04-25,Monday,Sedentary (<5k),1440
1321,1928,2016-04-26,Tuesday,Sedentary (<5k),1360
1758,2067,2016-04-27,Wednesday,Sedentary (<5k),900
1619,1962,2016-05-01,Sunday,Sedentary (<5k),834
1831,2015,2016-05-02,Monday,Sedentary (<5k),916
2421,2297,2016-05-03,Tuesday,Sedentary (<5k),739
2283,2067,2016-05-04,Wednesday,Sedentary (<5k),848
0,1688,2016-05-05,Thursday,Sedentary (<5k),1440
0,1688,2016-05-06,Friday,Sedentary (<5k),1440
0,1688,2016-05-07,Saturday,Sedentary (<5k),1440
0,1688,2016-05-08,Sunday,Sedentary (<5k),1440
0,1688,2016-05-09,Monday,Sedentary (<5k),1440
0,57,2016-05-10,Tuesday,Sedentary (<5k),48
4790,2189,2016-05-02,Monday,Sedentary (<5k),1335
7007,1411,2016-04-13,Wednesday,Lightly Active (5k-7.5k),1292
5370,1463,2016-04-16,Saturday,Lightly Active (5k-7.5k),1264
6175,1554,2016-04-17,Sunday,Lightly Active (5k-7.5k),1276
6349,1467,2016-04-21,Thursday,Lightly Active (5k-7.5k),1254
6076,1617,2016-04-24,Sunday,Lightly Active (5k-7.5k),1221
6497,1492,2016-04-25,Monday,Lightly Active (5k-7.5k),1238
6474,1655,2016-04-30,Saturday,Lightly Active (5k-7.5k),1182
7155,1497,2016-05-02,Monday,Lightly Active (5k-7.5k),1261
5263,2750,2016-04-15,Friday,Lightly Active (5k-7.5k),1263
7132,2806,2016-04-18,Monday,Lightly Active (5k-7.5k),1271
6637,2677,2016-04-23,Saturday,Lightly Active (5k-7.5k),1265
6132,2696,2016-05-01,Sunday,Lightly Active (5k-7.5k),908
6724,2987,2016-05-08,Sunday,Lightly Active (5k-7.5k),991
6643,3008,2016-05-09,Monday,Lightly Active (5k-7.5k),1099
6697,2030,2016-04-12,Tuesday,Lightly Active (5k-7.5k),1101
5372,1827,2016-04-22,Friday,Lightly Active (5k-7.5k),1220
6907,1992,2016-04-28,Thursday,Lightly Active (5k-7.5k),1138
6001,2069,2016-04-23,Saturday,Lightly Active (5k-7.5k),1191
6708,1995,2016-05-07,Saturday,Lightly Active (5k-7.5k),1269
7222,1667,2016-04-20,Wednesday,Lightly Active (5k-7.5k),623
6017,1576,2016-04-25,Monday,Lightly Active (5k-7.5k),821
5933,1595,2016-04-26,Tuesday,Lightly Active (5k-7.5k),1018
6088,1593,2016-04-27,Wednesday,Lightly Active (5k-7.5k),586
6375,1649,2016-04-28,Thursday,Lightly Active (5k-7.5k),626
7018,1690,2016-05-02,Monday,Lightly Active (5k-7.5k),716
5992,1604,2016-05-03,Tuesday,Lightly Active (5k-7.5k),981
6564,1658,2016-05-04,Wednesday,Lightly Active (5k-7.5k),530
5528,1555,2016-05-08,Sunday,Lightly Active (5k-7.5k),610
7275,2003,2016-04-13,Wednesday,Lightly Active (5k-7.5k),1105
5205,1801,2016-04-15,Friday,Lightly Active (5k-7.5k),1195
5057,1724,2016-04-16,Saturday,Lightly Active (5k-7.5k),1245
6198,1852,2016-04-17,Sunday,Lightly Active (5k-7.5k),1191
6559,1905,2016-04-18,Monday,Lightly Active (5k-7.5k),1173
5997,1811,2016-04-19,Tuesday,Lightly Active (5k-7.5k),1201
7192,1922,2016-04-20,Wednesday,Lightly Active (5k-7.5k),1146
5583,1851,2016-04-22,Friday,Lightly Active (5k-7.5k),1174
5079,1804,2016-04-23,Saturday,Lightly Active (5k-7.5k),1129
7443,1878,2016-05-03,Tuesday,Lightly Active (5k-7.5k),1204
5202,1780,2016-05-05,Thursday,Lightly Active (5k-7.5k),1206
7379,1972,2016-05-07,Saturday,Lightly Active (5k-7.5k),1121
5161,1821,2016-05-08,Sunday,Lightly Active (5k-7.5k),1193
6227,1899,2016-05-10,Tuesday,Lightly Active (5k-7.5k),1150
6424,1903,2016-05-11,Wednesday,Lightly Active (5k-7.5k),1140
5472,1882,2016-04-17,Sunday,Lightly Active (5k-7.5k),508
6711,2346,2016-04-19,Tuesday,Lightly Active (5k-7.5k),648
5980,1861,2016-04-26,Tuesday,Lightly Active (5k-7.5k),732
5439,1854,2016-04-28,Thursday,Lightly Active (5k-7.5k),764
7286,2241,2016-04-22,Friday,Lightly Active (5k-7.5k),1028
6873,1898,2016-04-24,Sunday,Lightly Active (5k-7.5k),1203
7373,1907,2016-04-25,Monday,Lightly Active (5k-7.5k),1081
7365,1780,2016-04-29,Friday,Lightly Active (5k-7.5k),1191
